name,category,pid,price,image,description,rating,brand
"Multicolor Multicolour Assorted Reversible Handmade Area Rug,Wool Jute Kilim Rug, Rectangle, Size/Dimension: 5 X 7 Feet",Handloom Carpets,21232913030,₹ 120/ ,//5.imimg.com/data5/SELLER/Default/2021/6/ZB/NU/PK/955035/wool-and-jute-dhurrie-handwoven-kilim-carpet-500x500.JPG,Wool and Jute Dhurrie Handwoven Kilim Carpet,4.3,"Vimla International, Jaipur"
"Rectangular Handloom Carpet, for Home & Offices",Handloom Carpets,21039367648,₹ 80/ ,//5.imimg.com/data5/DU/GJ/MH/SELLER-27294756/handloom-carpet-500x500-500x500.jpg,We are an accomplished organization which has gained name and fame in providing Handloom Carpet,3.7,Fab Export International
For Home Mixed Handloom Printed Carpets,Handloom Carpets,23004971188,"₹ 4,000/ ",//5.imimg.com/data5/SELLER/Default/2020/12/JC/VC/DL/4327510/handloom-printed-carpets-500x500.jpeg,"Handloom Carpet Printed in Abstract Design            
Additional Information  Delivery Time  28 days   Production Capacity  10000   Packaging Details  Pallet 
",4.7,Pihue Creations
"Cotton Handloom Fabric, Traditional, Multicolour",Cotton Handloom Fabrics,24125665191,₹ 85/ ,//5.imimg.com/data5/SELLER/Default/2021/10/PJ/CZ/IE/133437176/cotton-handloom-fabric-500x500.jpeg,"Traditional,Multicolour
Cotton printed fabric
Use for all type of Kurti, Plazo, Ladies kurties.",5.0,S. S. Textiles
"South Cotton Handloom Fabric, Check/stripes, Multicolour",Cotton Handloom Fabrics,23163317633,₹ 82/ ,//5.imimg.com/data5/SELLER/Default/2021/2/ZU/RH/UG/66853948/south-cotton-handloom-fabric-500x500.jpeg,"South cotton handloom fabricgsm-150		width-47	lenth 95uses- men shirts, ladies kurties, jents kurtas",4.9,Shri Ganesh Fabrics
"South cotton handloom fabric, Plain/Solids, Multicolour",Cotton Handloom Fabrics,23377617973,₹ 85/ ,//5.imimg.com/data5/ANDROID/Default/2021/4/RF/PO/FX/66853948/product-jpeg-500x500.jpg,"Any apparel, accessories, footwear, sunglasses, certain fashion Jewellery, etc. 
",4.9,Shri Ganesh Fabrics
"Khadi Banaswara handloom fabric cotton, For Garments",Handloom Fabrics,23977110430,₹ 65/ ,//5.imimg.com/data5/SELLER/Default/2021/9/WM/KE/MY/62639270/banaswara-500x500.jpeg,"Handloom Fabric  Width  44  amp  GSM  130            
Additional Information  Delivery Time  7   Production Capacity  10000 
",4.0,J. Bharat Khadi Bhandar
Wool Fabric woven Handloom Fabrics,Handloom Fabrics,24015011697,₹ 320/ ,//5.imimg.com/data5/SELLER/Default/2021/10/FE/KH/ZH/87748741/a-new-design-made-with-postermywall-1--500x500.jpg,Omdev Fashion,4.6,OMDEV FASHION
"Jacquard Geometric Fabrics, Multicolour",Geometric Fabric,23434974133,₹ 165/ ,//5.imimg.com/data5/SELLER/Default/2021/5/FS/AC/YU/84968492/coco-1-500x500.jpg,"Ready Made Curtain is easily adapted to fitany window, door & long door size and thewide range of available textiles allows you totailor the atmosphere in your home.Whether you want particular tones andnatural finishes or something bold andcolorful, we can design Ready Made Curtainto make it unique.The most common sizes on the Indianmarket are: 4x5 Feet, 4x7 Feet and 4x9Feet.minimum order 600 meter 
Additional Information  Delivery Time  40 day's from order 
",4.1,Ravi Exports Ltd.
Digital Print Crepe Geometrical Printed Fabric for Kids Garments,Geometric Fabric,24376322962,₹ 93/ ,//5.imimg.com/data5/SELLER/Default/2021/12/QA/MJ/JY/17641534/whatsapp-image-2021-12-08-at-11-21-33-1--500x500.jpeg,"Trendy and Fashionable Digital Printed fabrics with mix match design. Suitable for Garments and Western wear.            
",4.6,Sohini Silk Mill
Geometrical Cotton,Geometric Fabric,23377285262,₹ 160/ ,//5.imimg.com/data5/SELLER/Default/2021/4/GF/HE/SK/84968492/coco-2-500x500.jpg,"Ready Made Curtain is easily adapted to fitany window, door & long door size and thewide range of available textiles allows you totailor the atmosphere in your home.Whether you want particular tones andnatural finishes or something bold andcolorful, we can design Ready Made Curtainto make it unique.The most common sizes on the Indianmarket are: 4x5 Feet, 4x7 Feet and 4x9Feet.            
",4.1,Ravi Exports Ltd.
Chinnon Bandhani Bhandej Dupatta,Bhandej Dupatta,24153796397,₹ 110/ ,//5.imimg.com/data5/SELLER/Default/2022/1/WF/ZB/AW/132647943/bhandej-dupatta-500x500.jpeg,Chinnon Crush Bhandej Dupatta,5.0,Marudhara Fashion
Cotton Bandhani Rayon Dupatta Bandhej,Bhandej Dupatta,23217634862,₹ 70/ ,//5.imimg.com/data5/SELLER/Default/2021/3/CM/QX/ES/9887290/rayon-dupatta-bandhej-500x500.jpeg,"Rayon dupatta bandhej            
",4.4,Navkar Creation
Cotton Gota Patti Bandhej Dupatta,Bhandej Dupatta,19077985448,"₹ 1,530/ ",//5.imimg.com/data5/UB/VL/MY-5562519/bandhej-dupatta-500x500.jpg,"Bandhani Dupatta With Gottapatti Work Border            
",4.2,Kalasanskruti Retail Private Limited
Pure Bhandej and cibbory work Bandhej Chiffon Dupatta,Bhandej Dupatta,23294793133,₹ 150/ ,//5.imimg.com/data5/ANDROID/Default/2021/4/AD/GJ/HP/2520892/1618834984462-jpg-500x500.jpg,"Girls ciffon bhandej dupatta, cibbory dupatta, najnin print dupatta, bhandej dupatta            
",4.0,M.S. Designer
For Flooring Interior Designers Carpet,Designer Carpet,22634251812,₹ 360/ ,//5.imimg.com/data5/ANDROID/Default/2020/9/HI/FY/CS/4327510/product-jpeg-500x500.jpg,"Very soft and silky smooth carpet            
",4.7,Pihue Creations
"Plain Rectangular Polyester shaggy, for Home",Polyester Carpet,14094205348,₹ 60/ ,//5.imimg.com/data5/PL/VI/JE/ANDROID-1840220/1567527781503-jpg-500x500.jpg,"For the fulfillment of growing industry needs, we are presenting the superiority fabricated collection of Polyester Carpet.
Our Carpets are considered as the decorative item of the homes and offices and are admired for the fine stitching and attractive designs.
 
",3.8,JP2 Industries
"Silk Festive Wear Singal Akkat Patola Sarees, With Blouse Piece",Patola Sarees,23140026412,"₹ 9,500",//5.imimg.com/data5/SELLER/Default/2021/2/MI/NK/CV/115639711/singal-akkat-patola-sarees-500x500.jpeg,"Singal akkat patola sarees            
",4.8,Hareshbhai Mulajibhai Parmar
650 ROWSILK PATOLA SAREE,Patola Sarees,22056343597,₹ 895,//5.imimg.com/data5/HE/IQ/ID/SELLER-43239049/patola-saree-500x500.jpg,NEW RICH PATOLA SAREE WITH JARI VIVING BORDER AND BUTTIS EXCLUSIVE HEND PRINTING SAREES,4.2,Gaytri Family Shop
"Nivah Fashion Red,Green Box Panetar Patola Saree, 5.5, With Blouse Piece",Patola Sarees,24006351412,"₹ 2,500",//5.imimg.com/data5/SELLER/Default/2021/10/OR/NB/XF/73084833/whatsapp-image-2021-08-23-at-12-16-53-pm-1--500x500.jpeg,Saree Fabric,4.3,Nivah Fashion
Knee Long Embroidered Saree And Kurta combo,Khadi Sarees,20307390373,"₹ 1,000/ ",//5.imimg.com/data5/RW/VB/NK/ANDROID-51875784/product-jpeg-500x500.jpg,"Khadi cotton applique work saree and kurta            
",3.7,Uttaran Shilpa Kutir
Festive Wear Multicolor row silk khadi cotton saree,Khadi Sarees,22227822733,₹ 525/ ,//5.imimg.com/data5/FL/YT/LP/SELLER-43239049/whatsapp-image-2020-03-12-at-2-55-11-pm-500x500.jpeg,Raw Silk Saree With Khadi Weaving Pallu,4.2,Gaytri Family Shop
"Party Wear Printed Women Khadi Cotton Silk Saree, 6.3 m (with blouse piece)",Khadi Silk Sarees,22647284430,₹ 225,//5.imimg.com/data5/SELLER/Default/2020/9/PV/VZ/II/70773681/whatsapp-image-2020-09-11-at-4-02-00-pm-500x500.jpeg,Printed Khadi Silk Saree With Jhalor in Lowest Price With Best Qualtiy,3.8,M K Trading
"Golden Round Decorative glass pumpkin, For Decoration",Handicraft Items,22259214988,₹ 450,//5.imimg.com/data5/ZP/YY/HM/ANDROID-46368975/prod-20200423-170901564061084688156210-jpg-500x500.jpg,"Glass Pumpkin These magical glass pumpkins make a statement all year round with their rich colors, fine details, and playfully coiled stems. Pair this hand blown glass            
",4.0,Alsa Glass Handicrafts
"Polished Embossed Dokra Painting Frame, Size: 8 X 10",Handicraft Items, 4079056630,"₹ 1,200",//5.imimg.com/data5/KO/PZ/UI/SELLER-292984/embossed-dokra-painting-frame-500x500.JPG,"Embossed Dokra Painting Frame offered by us is an ethnic brass craft originating in the eastern parts of India, which is produced by tribal craft society. We make use of handmade lost-wax techniques to produce dhokra brass metal crafts that can be availed in net and figure forms. In this range of brass metal crafts, we offer various gift forms to create photo frames, jewelry and figures, among others. 
",4.4,Pushpam Arts
Metal Handicraft Enamel Items for Decoration,Handicraft Items, 3260254848,₹ 149,//5.imimg.com/data5/HY/JE/QZ/SELLER-1012852/handicraft-enamel-items-500x500.jpg,"Metallic cheap good quality enamel items in all shapes and sizes. Prices mentioned are for a specific small size and vary. 
Additional Information  Item Code  BS-002A 
",3.8,Royal De Wajidsons
Glass Inkpots,Glass Handicrafts,10725848148,₹ 185/ ,//4.imimg.com/data4/IN/LD/MY-21085483/glass-inkpots-250x250.jpg,"Other Details:
Code: DC2200Max In Dia Cm: 7.5Height In Cm: 6MOQ In Pcs: 48Description: You can find a wide assortment of glass inkpots in multiple shapes and sizesThese are used as a luxury important business gift 
Additional Information  Item Code  Dc2200   Delivery Time  15-20 days   Port Of Dispatch  EX FACTORY   Production Capacity  1000   Packaging Details  Singal Pcs Export Packing   Payment Terms  T/T (Bank Transfer) 
",3.9,Dlite Crafts
Glass Crystal Duck Pair Showpiece,Glass Showpiece,23611904233,₹ 599/ ,//5.imimg.com/data5/SELLER/Default/2021/6/RI/JN/PJ/96341302/1-1--500x500.jpg,"Attraction With Stylish Design, Quality Of Best Material, Performance And Durability For Long Life In Reasonable Price, Indian Reason Unique Stuff With MAKE IN INDIA Spirituality From House Of ""Tailos""
 
",4.5,Shri Balaji Enterprises
Acrylic Multicolor Couple gift showpiece,Showpiece,21441408791,₹ 90,//5.imimg.com/data5/RJ/XV/YA/SELLER-92748598/best-wishes-gift-item-500x500.jpg,"We are engaged in offering Best Wishes Gift Item, which is extremely praised in the market. Owing to high demand, professionals make these products in varied patterns.
 
",4.1,S.K.G. Enterprises
"Acrylic Taj Mahal LED Disco Light Decorative Showpiece, For Gift Purpose",Showpiece,21441461497,₹ 48,//5.imimg.com/data5/CO/WU/FF/SELLER-92748598/best-wishes-gift-items-500x500.jpg,"Couple gift, table top gift, wedding gift, etc. 
 
",4.1,S.K.G. Enterprises
"Polyresin Dinine Craft Decorative Showpiece, For Decoration, Packaging Type: Box",Showpiece,23248188330,₹ 50,//5.imimg.com/data5/SELLER/Default/2021/3/IP/TE/EB/8070144/dinine-craft-decorative-showpiece-500x500.PNG,"We, Shaifali Traders is one of the leading supplier of",4.1,Shaifali Traders
"Multicolor Human Big Bawla Set 4 Inch, For Decoration",Handicraft Items,22251285112,"₹ 1,200",//5.imimg.com/data5/II/NJ/KU/SELLER-46722905/tpbh-bawlaset4inch-1-500x500.jpg,"bawla set of 6 ( 4 inch, 5 inch, 6 inch)            
",4.4,ADSUP Marketing Solutions LLP
"Cotton Multicolor Home Decoration Handcraft Item, Size/Dimension: 25-50 Mm (diameter)",Handicraft Items,22455875148,₹ 150,//5.imimg.com/data5/UI/DT/NY/SELLER-33442967/new-product-17-07-2020-1594973714-6254--500x500.jpeg,"Price Range: Rs 150-250/ Unit            
",3.8,S.R.V.P. Impex
"Round White Decorative Artificial Flowers Ring, For Event Decorations",Handicraft Items,21013726155,"₹ 9,500",https://5.imimg.com/data5/VF/KL/QH/SELLER-2161621/decorative-artificial-flowers-panel-500x500.jpg,"Decorative Flower Frame with beautiful Flowers in available in different sizes for Wedding and Event Decorations.            
",3.9,Valley Of Flowers (A Unit Of Shreya Overseas)
"Flower metal diya, Size: 2.25x2.5, For Decorative",Handicraft Items,21529776630,₹ 35,//5.imimg.com/data5/YC/QQ/VH/SELLER-52149104/20190711-123938-500x500.jpg,"decorative diya            
Additional Information  Item Code  1900   Delivery Time  10 to 15 days   Production Capacity  10000   Packaging Details  box 
",3.3,S.M.S Traders
"White Marble Temple, Size: 5 X 5 X 10 Feet",Marble Handicrafts,20028135948,₹ 3.25 Lakh,https://4.imimg.com/data4/EX/NL/ANDROID-9934284/product-500x500.jpeg,We are offering,4.3,Stone Art Hub
"Indoor Curved Marble Singhasan, For Home, Size: Customizable",Marble Handicrafts,22225565030,"₹ 36,000",//5.imimg.com/data5/EU/AB/KX/SELLER-8163415/marble-singhasan-500x500-500x500.jpg,Pure White Marble Singhasan with carving and inlay work.,5.0,Jain Marble & Tiles
Marble Peacock Urli 2 Feet,Marble Urli, 7439535173,"₹ 2,000/ ",//3.imimg.com/data3/NB/CI/MY-5357349/untitled-1-500x500.jpg,"Backed by extensive industry experience in offering qualitative end solutions, Peacock Urli offered is flawlessly crafted that adds to the decor of that place. Here, our expertise lies in also making it available in defined shapes and design options as desired by the customers. Helping in enhancing aesthetic sense of surroundings, 2 feet peacock urli is suitable for adding to the aesthetics of areas like malls, hotels and others. Further, its flawless finishing and stylish designs, finely polished outer surface and sleek, stylish finish also make these the preferred choice of customers.            
",3.4,Konzept Arts
Silver Brass Handicraft Gift,Brass Handicrafts,24347741862,₹ 160,//5.imimg.com/data5/SELLER/Default/2021/12/SM/HR/OI/57332491/brass-handicraft-gift-500x500-500x500.jpg,"These Products are made of metal and polished with best quality item so it will remain same and it can be used for home and kitchen purpose.            
",5.0,Urban Crafts India
Antique Brass Box,Brass Handicrafts,19116576597,₹ 900,//5.imimg.com/data5/EP/AU/MY-8482776/antique-brass-box-500x500.jpg,Our company has achieved widespread recognition for providing,4.5,The Oldman Arts International
Unique Vintage Brass Car for Home,Brass Crafts,21205297833,"₹ 1,100",//5.imimg.com/data5/EV/NP/YS/SELLER-37335946/31091903-1757384861005208-5137439248667901952-n-500x500.jpg,Vintage Crafts,4.0,Vintage Crafts
"Golden As Shown In Picture Brass Traditional Surai, For Home Decoration",Brass Crafts, 2067472188,₹ 750,//2.imimg.com/data2/QU/CI/MY-/27-500x500.jpg,"We are listed amid the principal companies affianced in the realm of presenting to our clients a huge assortment of Brass Traditional Surai. Under the command of skilled employees, the offered surai are made-up using exceptional-quality raw material and are enormously valued for their error less finish and flexibility. More to this, our clients can purchase these products from us at low-priced costs.",5.0,Handicraft Home (india)
Wooden Elephant,Wooden Elephant,22083286891,"₹ 1,200",//5.imimg.com/data5/VB/EK/FQ/SELLER-44961164/wooden-elephant-500x500.jpg,"Relying on our crew of knowledgeable designers, we are engaged in offering eye-catching range of Wooden Elephant 
",4.4,Satish Fine Arts
Brown Wood Elephant Shikaar Carvings/Wooden Elephant,Wooden Elephant,14741273862,₹ 350,//5.imimg.com/data5/BI/PJ/MY-12118886/handmade-jali-work-wooden-elephant-500x500.jpg,"Colour / Material : Light Brown / Wood.Hand Crafted Wooden Carved Elephant with Trunk Up - Fine Carving Upper Trunk Elephant FiguringSize:3""/4""/5""/6"" 
",4.2,Popli Brass Shop
"Wooden Bawla Musician for Decoration, Size: 2.5 Inches",Wooden Handicraft, 8808846733,₹ 280,//5.imimg.com/data5/DH/QB/MY-8604051/wooden-bawala-musician-2-500x500.jpg,"This handcrafted Rajasthani six-piece musician set is made of fine termite proof light weight wood. Each piece is beautifully hand painted. This show piece is an ideal item for your home decor. The item being handmade, the fine design, pattern and color tone of the product may vary slightly from that shown in the image.The musicians hold different instruments like: Dholak, Sitar, Table, Manjhira, Sarangi, Shehnai etc. 
",4.0,Indian Culture Handicraft
"Wooden Monkey Set for Gift, Size: 3 Inch",Wooden Handicraft,22227469912,₹ 250,//5.imimg.com/data5/UG/XT/RI/ANDROID-12729036/product-jpeg-500x500.jpg,"This handcarved Gandhi Monkey is a set of 3 monkeys of Mahatma Gandhi- Do not See Evil, Do not Talk Evil, Do not Hear Evil. The monkeys are beautifully carved out of fine light weight wood with small monkeys seen from the jali as trapped inside the outer bigger monkeys. The height of the artifact is approx 3.5 inch.            
",3.7,Hastkala Arts
Wooden Parrot Round Pavati Wp057,Wooden Handicraft,17983557648,₹ 180,//4.imimg.com/data4/EX/YH/ANDROID-1819434/product-500x500.jpeg,"Hand painted carved green wooden parrot round pavatisize (in)rate (rs. )31804270537565558750 
Additional Information  Item Code  WP057   Delivery Time  3 Days   Port Of Dispatch  Jaipur   Production Capacity  1000   Payment Terms  T/T (Bank Transfer)/D/A 
",3.8,Little India
